listingId, rating_accuracy, rating_communication, rating_cleanliness, rating_location, rating_checkin, rating_value, review_user_id, review_body, review_date, response_date, response_owner_id, response_body
1,3,2,1,2,3,2,1,Aut maxime dolorum alias eos non magnam.,Sat Mar 03 2018 23:17:42 GMT-0800 (PST),Sat Mar 03 2018 23:17:42 GMT-0800 (PST),1,Et quod quo numquam beatae.
2,1,3,3,1,3,3,2,Ex aut ex eum.,Fri Feb 23 2018 21:46:18 GMT-0800 (PST),Fri Feb 23 2018 21:46:18 GMT-0800 (PST),2,Inventore hic illo perferendis aspernatur ipsam optio tempore fugiat repellendus.
3,1,1,2,2,1,2,3,Ut vitae nihil nihil fugit aliquid esse debitis non.,Tue Jun 26 2018 04:05:56 GMT-0700 (PDT),Tue Jun 26 2018 04:05:56 GMT-0700 (PDT),3,Laboriosam necessitatibus et sint aut mollitia et excepturi rerum repudiandae.
4,2,1,3,2,2,2,4,Id et sint adipisci quo.,Sun Mar 11 2018 23:50:39 GMT-0700 (PDT),Sun Mar 11 2018 23:50:39 GMT-0700 (PDT),4,Inventore non et voluptate ea quidem alias quaerat.
5,2,3,3,1,1,1,5,Commodi esse natus nemo nobis voluptatum ea adipisci nihil consequatur.,Mon Oct 08 2018 06:24:53 GMT-0700 (PDT),Mon Oct 08 2018 06:24:53 GMT-0700 (PDT),5,Cumque molestiae veniam neque ab natus earum quasi.
6,2,2,3,3,1,2,6,Distinctio et aut.,Wed Oct 10 2018 17:06:48 GMT-0700 (PDT),Wed Oct 10 2018 17:06:48 GMT-0700 (PDT),6,Voluptatem earum dignissimos nihil.
7,2,3,2,3,3,1,7,In vero nobis pariatur necessitatibus sit maxime temporibus qui doloremque.,Sat May 19 2018 11:37:49 GMT-0700 (PDT),Sat May 19 2018 11:37:49 GMT-0700 (PDT),7,Blanditiis quis officiis et eos molestias et sint tenetur.
8,2,1,3,2,3,3,8,Quae repellendus qui.,Mon Apr 30 2018 14:29:50 GMT-0700 (PDT),Mon Apr 30 2018 14:29:50 GMT-0700 (PDT),8,Esse temporibus mollitia odit perspiciatis corporis necessitatibus dolorem laborum.
9,3,2,3,2,2,3,9,Illo ipsa qui provident qui sed ab inventore quaerat.,Fri Feb 02 2018 19:19:06 GMT-0800 (PST),Fri Feb 02 2018 19:19:06 GMT-0800 (PST),9,Est natus quas totam.
10,2,2,3,2,2,3,10,Vel eum non doloremque voluptatum.,Mon Apr 16 2018 01:51:01 GMT-0700 (PDT),Mon Apr 16 2018 01:51:01 GMT-0700 (PDT),10,Ut mollitia modi aspernatur aut quia.
